#Data tag : v1 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/pb),recorded(/pb)
276811:5095,07/14/16 12:15:34,2562,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,320.406,310.488
276831:5096,07/15/16 07:47:46,2634,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,427.027,410.764
276834:5096,07/16/16 01:42:10,720,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,77.937,74.848
276870:5097,07/16/16 11:02:01,3403,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,560.641,540.129
276935:5101,07/17/16 23:39:55,824,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,183.276,173.604
276940:5102,07/18/16 08:13:36,144,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,34.630,29.286
276946:5102,07/18/16 09:56:36,27,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,6.290,4.337
276947:5102,07/18/16 10:11:19,132,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,29.900,25.100
276948:5102,07/18/16 11:09:47,474,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,97.616,87.808
276950:5102,07/18/16 14:16:45,2353,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,346.207,331.498
277069:5105,07/19/16 17:52:15,309,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,80.242,76.658
277070:5105,07/19/16 19:54:11,1058,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,221.708,210.452
277071:5105,07/20/16 02:48:37,171,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,29.929,26.936
277072:5105,07/20/16 04:01:41,464,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,73.336,70.777
277073:5105,07/20/16 07:09:53,90,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,13.469,13.057
277076:5105,07/20/16 07:55:58,1033,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,134.445,129.281
277087:5105,07/20/16 17:49:22,988,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,92.009,88.851
277094:5106,07/21/16 04:03:56,582,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,138.859,133.263
277096:5106,07/21/16 07:56:14,2085,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,340.993,327.953
277112:5106,07/21/16 21:29:34,155,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,17.750,17.122
277126:5107,07/22/16 01:36:48,18,HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v4,4.533,1.999
